Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO:0060271,0.26834190750679593,1.1453131375649035,0.2459546925566343,0.4249126160991322,1.0,27/97,19.81%,BBS7;CEP164;IQUB;KIF3A;ARL3;HYLS1;BBS9;EHD1;SEPT2;TXNDC15;EHD4;WDR35;RAB8A;TMEM250;NME8;SEPT7;DYNC2H1;CDC14B;RILPL2;CEP162;TTLL3;C2CD3;POC1A;POC1B;SNX10;TEKT2;B9D1
prerank,GO:0050870,0.3757654151053774,1.1385447284339434,0.3,0.43638071972495945,1.0,12/18,35.60%,B2M;HLA-DPA1;FAM49B;HLA-DQB2;HLA-DQB1;HLA-DRB1;HLA-DPB1;HLA-DRB5;HLA-DQA2;HLA-DRA;HLA-DMA;HLA-DQA1
prerank,GO:0031146,0.3229813173115628,1.1376258773313463,0.2848180677540778,0.43682929241786045,1.0,16/32,36.53%,CUL4A;FBXL5;FBXL6;FBXL17;FBXO27;FBXO6;FBXL20;FBXL18;FBXW4;CUL2;SKP2;FBXL15;FBXL2;FBXO44;FBXO31;FBXL14
prerank,GO:0034446,0.3816570940969053,1.1375868957263164,0.29894179894179895,0.4355656692628724,1.0,6/16,24.58%,MEGF9;ILK;PXN;NTNG2;LAMB3;ATRN
prerank,GO:0005085,0.2726558222016954,1.135854989326298,0.25905598243688255,0.4375077566884687,1.0,37/84,33.30%,SOS1;RALGDS;RAPGEF2;FAM45A;RAPGEF1;DOCK2;HPS1;RAPGEF3;MCF2L2;ARHGEF12;RIN2;SOS2;DOCK11;VPS9D1;ANKRD27;RABIF;MADD;DOCK5;RIC8A;ALS2;DOCK8;RASGEF1A;RAPGEFL1;EIF2B2;SPATA13;RASGRP1;LAMTOR4;RALGPS1;RGL3;VAV2;VAV1;LAMTOR5;ARHGEF7;LAMTOR1;FARP2;RIC8B;RINL
prerank,GO:0071011,0.37219230945873216,1.135650637104747,0.29049531459170014,0.43659084122095954,1.0,12/18,45.16%,SF3B6;PHF5A;SF3B2;SF3B5;PRPF38B;PRPF31;LSM8;SNU13;SNRPD3;PRPF38A;SMU1;LSM3
prerank,GO:0070936,0.35708226785022623,1.1339596608151876,0.3049095607235142,0.43846263111683703,1.0,6/19,9.85%,RNF34;RNF8;UBE2D3;UBE2Q2;AMFR;UBE2E3
prerank,GO:0006631,0.34738970626719584,1.1318533964031707,0.2938271604938272,0.4411188715841007,1.0,10/25,24.26%,CPT1A;ACOT4;PPARA;PNPLA8;ACBD5;DBI;HSD17B10;PPARG;ACSF2;GNPAT
prerank,GO:0000932,0.30240445568609764,1.1317135271474053,0.285876993166287,0.44004984695031774,1.0,19/45,32.14%,DCP1B;LSM1;APOBEC3C;APOBEC3D;SAMD4B;PATL2;BTBD1;CNOT3;APOBEC3G;DCP1A;PATL1;DCPS;DDX6;EDC4;APOBEC3B;PNRC2;APOBEC3A;CNOT1;POLR2G
prerank,GO:0000146,0.3446425970525065,1.1310213694570197,0.29198966408268734,0.44004062437195723,1.0,7/24,15.45%,MYH9;MYO5A;MYO1G;MYO6;MYO1F;MYO3B;MYO9B
prerank,GO:0005814,0.29556451828079083,1.1307629738896352,0.28827751196172247,0.43923642905620136,1.0,25/50,34.58%,CCDC92;CEP128;CEP164;CEP89;HYLS1;CROCC;CCP110;CETN2;CCSAP;CEP162;C2CD3;POC1A;POC1B;PCM1;STIL;NEDD1;STARD9;CEP19;IFT52;SCLT1;CEP250;SASS6;CEP120;CNTLN;CEP192
prerank,GO:0030687,-0.30059919893573556,-1.1288680682378152,0.26877470355731226,0.830655499929818,1.0,7/19,18.13%,WDR74;WDR12;MRTO4;RRP15;NSA2;MDN1;MAK16
prerank,GO:0048843,0.3767638908560095,1.1277496848646509,0.30440587449933243,0.4435700781671033,1.0,8/16,39.03%,SEMA4C;SEMA3G;SEMA3C;SEMA4B;SEMA7A;SEMA4A;SEMA4F;SEMA3B
prerank,GO:0030334,0.34198146166091203,1.1275060702660145,0.2895069532237674,0.44281806320296013,1.0,8/25,24.17%,PLXNA2;TMSB4X;FGF23;SLK;PLXND1;AMOT;PLXNB1;ABI3
prerank,GO:0000922,0.3396597584057599,1.1258956438802736,0.3169107856191744,0.44446659154400264,1.0,10/26,27.78%,CEP128;DCTN1;PSRC1;CDC14B;LATS2;CKAP5;PLK1;NEDD1;BOD1L1;CEP19
prerank,GO:0050877,0.3549502964209508,1.1252735728497185,0.29747675962815406,0.4431424631059985,1.0,5/19,18.52%,GABRD;CHRNB1;CHRNE;CHRFAM7A;GABRB1
prerank,GO:0005231,0.3549502964209508,1.1252735728497185,0.29747675962815406,0.4431424631059985,1.0,5/19,18.52%,GABRD;CHRNB1;CHRNE;CHRFAM7A;GABRB1
prerank,GO:0031490,0.36070696849436307,1.1198279907994744,0.327741935483871,0.4520601526570682,1.0,9/19,29.15%,TOX4;SBNO2;KDM3B;LEMD2;TOX;ATRX;SBNO1;EP300;CREBBP
prerank,GO:0005576,0.3149678997612524,1.1192276102807974,0.3073110285006196,0.4518548529499241,1.0,11/33,28.07%,EVA1C;PLBD2;CLCF1;CCDC3;IL7;PAM;GRN;MZB1;DRAXIN;RNLS;PLBD1
prerank,GO:0004715,0.3237988310956641,1.118447615931709,0.3134715025906736,0.45197276355525173,1.0,17/29,38.23%,JAK2;FYN;SLA;ZAP70;JAK1;CSK;HCK;FGR;MATK;STYK1;PTK2B;SYK;TYK2;YES1;LYN;MELK;FES
prerank,GO:0043186,0.3804991075724744,1.1144257020762887,0.3118421052631579,0.4580774828599537,1.0,6/15,25.47%,SNRPG;PIWIL1;HELZ;TDRD7;PIWIL4;TDRD15
